"Part";"Value";"Device";"Package";"Description";"";
"ANT1";"JTI_1575AT43A0040";"JTI_1575AT43A0040";"JTI_1575AT43A0040";"JTI_1575AT43A0040 GNSS antenna footprint.";"";
"C1";"";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C2";"";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C3";"18p";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C4";"18p";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C5";"180p";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C6";"180p";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C7";"18nF";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C8";"10uF";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C9";"100nF";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C10";"100nF";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C11";"10uF";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C12";"100nF";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C13";"1uF";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C14";"100n";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C15";"100n";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
"C16";"100n";"CAP0402";"CAP0402";"CAPACITOR 0402 - 1 x 0.5 x 0.35mm";"";
